web_scraper_order,web_scraper_start_url,container_links,marque_modele,annee,prix,kilometrage,type_boite_de_vitesse,region_de_vente
"1786365875-1,""https://www.gaaraas.com/fr/users/dakar-auto?page=13"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-audi-s3-dakar-dakar-4137"",""Audi S3"",""2007"",""CFA 2 000 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786365878-2,""https://www.gaaraas.com/fr/users/dakar-auto?page=13"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-fiat-stilo-dakar-dakar-2508"",""Fiat Stilo"",""2007"",""CFA 2 700 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786365880-3,""https://www.gaaraas.com/fr/users/dakar-auto?page=13"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-2896"",""Toyota RAV4"",""2006"",""CFA 3 500 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786365883-4,""https://www.gaaraas.com/fr/users/dakar-auto?page=13"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1748"",""Peugeot 307"",""2007"",""CFA 2 100 000"",""175 598 km"",""Manuelle"",""Dakar"""
"1786365886-5,""https://www.gaaraas.com/fr/users/dakar-auto?page=13"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-878"",""Dacia Logan"",""2008"",""CFA 2 600 000"",""137 000 km"",""Manuelle"",""Dakar"""
"1786365891-6,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-4348"",""Renault Megane"",""2008"",""CFA 1 850 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786365894-7,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2611"",""Citroen C4"",""2008"",""CFA 2 100 000"",""90 925 km"",""Manuelle"",""Dakar"""
"1786365896-8,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-2758"",""Peugeot 308"",""2012"",""CFA 3 900 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786365899-9,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-xsara-dakar-dakar-3025"",""Citroen Xsara"",""2006"",""CFA 1 800 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786365901-10,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-871"",""Ford Escape"",""2014"",""CFA 8 200 000"",""105 000 km"",""Manuelle"",""Dakar"""
"1786365904-11,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-st-dakar-dakar-2887"",""Ford Focus ST"",""2012"",""CFA 3 300 000"",""140 000 km"",""Automatique"",""Dakar"""
"1786365906-12,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1665"",""Renault Megane"",""2007"",""CFA 2 700 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786365910-13,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-305-dakar-dakar-578"",""Peugeot 305"",""2004"",""CFA 1 600 000"",""128 000 km"",""Manuelle"",""Dakar"""
"1786365913-14,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-1327"",""Citroen Berlingo"",""2006"",""CFA 2 400 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786365915-15,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-4388"",""Mitsubishi L200"",""2011"",""CFA 6 000 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786365917-16,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-200sx-dakar-dakar-746"",""Nissan 200SX"",""2006"",""CFA 1 600 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786365921-17,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-3635"",""Peugeot 308"",""2010"",""CFA 2 900 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786365923-18,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-405-dakar-dakar-4173"",""Peugeot 405"",""2005"",""CFA 1 900 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786365926-19,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-681"",""Peugeot 308"",""2008"",""CFA 2 700 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786365928-20,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-191"",""Toyota RAV4"",""2010"",""CFA 9 600 000"",""180 000 km"",""Automatique"",""Dakar"""
"1786365931-21,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-3449"",""Renault 19"",""1989"",""CFA 1 500 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786365935-22,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1119"",""Peugeot 406"",""2004"",""CFA 2 700 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786365938-23,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-wrangler-dakar-dakar-2454"",""Jeep Wrangler"",""2013"",""CFA 20 000 000"",""100 000 km"",""Automatique"",""Dakar"""
"1786365942-24,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2915"",""Peugeot 307"",""2005"",""CFA 2 100 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786365944-25,""https://www.gaaraas.com/fr/users/dakar-auto?page=12"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-205-dakar-dakar-1934"",""Peugeot 205"",""2000"",""CFA 1 400 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786365950-26,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1666"",""Citroen C3"",""2007"",""CFA 2 400 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786365952-27,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-874"",""Hyundai Tucson"",""2006"",""CFA 4 000 000"",""298 000 km"",""Manuelle"",""Dakar"""
"1786365955-28,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-560"",""Toyota RAV4"",""2007"",""CFA 5 200 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786365957-29,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3183"",""Ford Escape"",""2011"",""CFA 5 800 000"",""0 km"",""Automatique"",""Dakar"""
"1786365960-30,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-1191"",""Renault Scenic"",""2008"",""CFA 2 200 000"",""16 000 km"",""Manuelle"",""Dakar"""
"1786365963-31,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-patriot-dakar-dakar-2023"",""Jeep Patriot"",""2015"",""CFA 9 500 000"",""51 200 km"",""Automatique"",""Dakar"""
"1786365965-32,""https://www.gaaraas.com/fr/users/dakar-auto?page=11"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-2290"",""Peugeot 406"",""2003"",""CFA 2 400 000"",""160 000 km"",""Manuelle"",""Dakar"""
